142,142, 53,142,142,142,142,142,142, 53,145,145,145,145,145,145,145, 53,142,142,142,142,142,142,142,142,142, 53,142,142,142,142, 53,142,142,145,145,145,145,145,
142,142, 52, 42, 42, 42, 42, 42, 42, 52,145, 50, 50, 50, 50, 50,145, 53,142,142,142,142,142,142,100,101,101, 53,142,142,142,142, 53,142,142,145,145, 50, 50, 50,
142,142, 53,142,142,142,142,142,142, 53,145, 50, 50, 50, 50, 50,145, 53,142,142,142,142,142,142,110,110,111, 53,142,142,142,142, 53,142,142,145,145,145,145,145,
142,142, 53,142,142,142,142,142,142, 53,145,145,145,145,145,145,145, 53,142,142,142,142,142,142,142,142,142, 53,142,142,142,142, 53,142,142,145,145,145,145,145,
 42, 42, 52, 42, 52, 42, 42, 42, 42, 52, 42, 42, 42, 42, 52, 42, 42, 63,142,142, 42, 42, 52, 42, 42, 42, 42, 52,142,142,142,142, 53,142,142,142, 53,142,142,142,
142,142,142,142, 53,142,142,142,142, 53,142,142,142,142, 53,142,142,142,142,142,142,142, 53,142,142,142,142, 53,142,142,142,142, 53,142,142,142, 53,142,142,142,
142,142,142,142, 53,142,142,142,142, 53,142,142,142,142, 53,142,142,142,142,142,142,142, 53,142,142,142,142, 52, 42, 42, 42, 42, 52, 42, 42, 42, 52, 42, 42, 42,
142,142, 41, 42, 52, 42, 52, 42, 42, 52, 42, 42, 42, 42, 52, 42, 42, 42, 43,142,142,142, 53,142,142,142,142, 53,145,145,145,145, 53,142,142,142,142,142,142,142,
142,142, 53,145,145,145, 53,145,145, 53,142,142,142,142,142,142,142,142, 53,142,142,142, 53,142,142,142,142, 53,145,145,142,145, 53,142,142,142,142,142,142,142,
142,142, 53,145,145,145, 53,145, 41, 52, 43,142,142,142,142,142,142,142, 53,142,142,142, 53,142,142,142,142, 53,145,145,145,145, 53,142,142,142,142,142,142,142,
142,142, 53,145,145,145, 52, 42, 52, 52, 52, 42, 42, 42, 43,142,142,142, 53,142,142,142, 53,142,142,142,142, 53,145,145,145,145, 53,142,142,142,142,142,142,142,
142,142, 53,145,145,145, 53,142, 61, 52, 63,142,142,142, 52, 42, 42, 42, 52, 42,142,142, 52, 42, 42, 42, 42, 52, 42, 42, 42, 42, 52, 42, 52, 42, 42, 42, 42, 42,
142,142, 53,145,145,145, 53,142,142, 53,142,142,145,142, 53,142,142,142,142,142,142,142, 53,142,142,142,142, 53,142,142,142,142,142,142, 53,142,142,142,142,142,
 42, 42, 52, 42, 52, 42, 52,142,142, 53,142,142,142,142, 53,142,142,142,142,142,142,142, 53,142,142,142,142, 53,142,142,142,142,142,142, 53,142,142,142,142,142,
142,142,142,142, 53, 30, 53,142,142, 53,142,142,142,142, 53,142,142,142,142,142,142,142, 53,142,142,142,142, 53,142,142,142,142,142,142, 53,142,142,142,145,142,
  2,100,101,101, 61, 42, 52, 42, 42, 52, 42, 42, 52, 42, 63,142,142,142,142,142,142,142, 53,142,142,145,142, 53,142,142,142,142,142,142, 53,142,142,145,145,145,
  2,110,110,111,142,142, 53,145,145, 53,145,145, 53,142,142,142,142,142,142, 23, 42, 42, 52, 42, 42, 42, 42, 52, 42, 42, 42, 42, 42, 42, 52,145,145,145,142,145,
142,142,142,142,142,142, 53,145,145, 53,145,145, 53,142,142,142,142, 23, 23, 23,142,142, 53,142,142,142,142,142,142,142,142,142,142,142, 53,142,142,145,145,145,
 42, 42, 42, 42, 42, 42, 52, 42, 42, 52, 42, 42, 63,142, 23, 23, 23, 23, 23, 23,142,142, 53,142,142,142,142,142,142,142,142,142,142,142, 53,142,142,142,145,142,
142,142,142,142,142,142, 53,142,142, 53,142,142,142,142, 23, 23, 23, 23, 23, 23,142,142, 53,142,142,142,142,142,142,142,142,142,142,142, 53,142,142,142,145,142,
 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142, 85, 85,142,142,142,142,142,  0,142,142,142,142,142,142,142,142,142,142,142,142,142,
